event_id,event_timestamp,event_date,event_hour,event_minute,event_index,ghost_index,ghost_type,relocation,ghost_price,event_hlc3,atr_1m,volume_1m,volume_ema9_1m,tf1_ob_dist_pips,tf1_ob_width_pips,tf1_fvg_dist_pips,tf1_fvg_width_pips,tf1_fib_dist_pips,tf1_vwap_dist_pips,tf1_vwap_band1_dist_pips,tf1_vwap_band2_dist_pips,tf1_vp_poc_dist_pips,tf1_vp_vah_dist_pips,tf1_vp_val_dist_pips,tf1_bos_choch_dist_pips,tf1_eqh_eql_dist_pips,tf1_sweep_grab_run_dist_pips,tf1_supply_demand_dist_pips,tf1_supply_demand_width_pips,tf1_channel_dist_pips,tf1_channel_width_pips,tf10_ob_dist_pips,tf10_ob_width_pips,tf10_fvg_dist_pips,tf10_fvg_width_pips,tf10_fib_dist_pips,tf10_vwap_dist_pips,tf10_vwap_band1_dist_pips,tf10_vwap_band2_dist_pips,tf10_vp_poc_dist_pips,tf10_vp_vah_dist_pips,tf10_vp_val_dist_pips,tf10_bos_choch_dist_pips,tf10_eqh_eql_dist_pips,tf10_sweep_grab_run_dist_pips,tf10_supply_demand_dist_pips,tf10_supply_demand_width_pips,tf10_channel_dist_pips,tf10_channel_width_pips,tf60_ob_dist_pips,tf60_ob_width_pips,tf60_fvg_dist_pips,tf60_fvg_width_pips,tf60_fib_dist_pips,tf60_vwap_dist_pips,tf60_vwap_band1_dist_pips,tf60_vwap_band2_dist_pips,tf60_vp_poc_dist_pips,tf60_vp_vah_dist_pips,tf60_vp_val_dist_pips,tf60_bos_choch_dist_pips,tf60_eqh_eql_dist_pips,tf60_sweep_grab_run_dist_pips,tf60_supply_demand_dist_pips,tf60_supply_demand_width_pips,tf60_channel_dist_pips,tf60_channel_width_pips,sr_4h_dist_pips,sr_d_dist_pips,sr_w_dist_pips,Y_3m,Y_5m,Y_10m,Y_15m,complete
ghost_relocated_low_171_171_0,1775029860,2026-04-01,7,51,171,171,low,appearance,24089.75,24100.25,12.9235651229231,621,336.733521893547,10,38,-64,24,,,,,242.740000000005,295.320000000007,151.919999999998,51,,51,-227.5,101,,,,,-83,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,5,7,1
ghost_relocated_low_172_172_1,1775029920,2026-04-01,7,52,172,172,low,move,24088.25,24094,13.054024757,332,335.786817514838,35,38,-39,24,-17,215.723683754462,287.059336056569,358.39498835869,267.740000000005,320.320000000007,176.919999999998,76,,76,-202.5,101,,,,,-58,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,5,6,1
ghost_relocated_low_173_173_2,1775029980,2026-04-01,7,53,173,173,low,move,24082,24091.0833333333,13.1394515600715,544,377.42945401187,46.6666666666715,38,-27.3333333333285,24,-11.3333333333285,220.191610547132,300.31700433536,380.442398123603,279.406666666677,331.986666666679,188.58666666667,-69.3333333333285,,-69.3333333333285,-190.833333333328,101,,,,,-46.3333333333285,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,4,5,1
ghost_relocated_low_179_179_3,1775030340,2026-04-01,7,59,179,179,low,move,24072.25,24080.75,13.3489205437383,457,334.903298792488,88,38,14,24,5,227.814733462874,334.651133066887,441.487532670901,320.740000000005,373.320000000007,229.919999999998,-28,,21,-149.5,101,,,,,-5,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,5,7,1
ghost_relocated_low_180_180_4,1775030400,2026-04-01,8,0,180,180,low,move,24071.75,24082.6666666667,13.7168547906141,409,349.72263903399,66.3333333333285,40,6.33333333332848,24,-41.6666666666715,211.679599804775,325.025328372067,438.371056939359,313.073333333334,365.653333333335,222.253333333327,-2.66666666667152,,13.3333333333285,-157.166666666672,101,,,,,-12.6666666666715,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,5,6,1
ghost_relocated_low_181_181_5,1775030460,2026-04-01,8,1,181,181,low,move,24066.5,24073.4166666667,14.1299365912845,388,357.378111227192,103.333333333328,40,-23.1666666666715,23,-6.66666666667152,241.86412658426,359.464532977756,477.064939371252,350.073333333334,402.653333333335,259.253333333327,1.33333333332848,,1.33333333332848,-120.166666666672,101,,,,,24.3333333333285,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-263.666666666672,,,1,2,5,5,1
ghost_relocated_low_182_182_6,1775030520,2026-04-01,8,2,182,182,low,move,24059.75,24068.0833333333,14.3527982633356,429,371.702488981754,-91.8333333333285,47,-1.83333333332848,23,-6.33333333332848,256.028925725055,378.920667743529,501.812409762002,371.406666666677,423.986666666679,280.58666666667,22.6666666666715,,-3.33333333332848,-98.8333333333285,101,,,,,45.6666666666715,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-242.333333333328,,,0,1,4,4,1
ghost_relocated_low_186_186_7,1775030760,2026-04-01,8,6,186,186,low,move,24055.5,24065.25,15.5464330278824,249,307.687739486926,-80.5,47,9.5,23,-22,247.883552891435,381.286622149913,514.689691408392,382.740000000005,435.320000000007,291.919999999998,-16,,-3,-87.5,101,,,,,57,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-231,,,1,3,3,3,1
ghost_relocated_low_189_189_8,1775030940,2026-04-01,8,9,189,189,low,move,24051,24056.0833333333,14.4285762981988,253,262.792122617306,-43.8333333333285,47,-12.8333333333285,15,-2.33333333332848,273.861482273307,414.218808086822,554.576133900322,419.406666666677,471.986666666679,328.58666666667,15.6666666666715,,14.6666666666715,-50.8333333333285,101,,,,,-77.8333333333285,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-194.333333333328,,,2,2,2,2,1
ghost_relocated_low_190_190_9,1775031000,2026-04-01,8,10,190,190,low,move,24048.5,24051.75,13.8979637054703,223,254.833698093845,-26.5,47,4.5,15,-3,286.642752337793,430.165017267922,573.687282198065,436.740000000005,489.320000000007,345.919999999998,33,,6,-33.5,101,,,,,-60.5,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-177,,,1,1,1,1,1
